Fact_ID,Date,Security_ID,Measure,Value
822,2018-04-09,20,High,216.86
822,2018-04-09,20,Low,212.39999
822,2018-04-09,20,Close,212.81
822,2018-04-09,20,AdjClose,191.49492
822,2018-04-09,20,Volume,2186100
823,2018-04-10,20,Open,215.32001
823,2018-04-10,20,High,218.71001
823,2018-04-10,20,Low,215.23
823,2018-04-10,20,Close,216.98
823,2018-04-10,20,AdjClose,195.24725
823,2018-04-10,20,Volume,2857400
824,2018-04-11,20,Open,214.2
824,2018-04-11,20,High,215.89
824,2018-04-11,20,Low,213.5
824,2018-04-11,20,Close,214.33
824,2018-04-11,20,AdjClose,192.86269
824,2018-04-11,20,Volume,1819800
825,2018-04-12,20,Open,215.72
825,2018-04-12,20,High,217.67999
825,2018-04-12,20,Low,215.01
825,2018-04-12,20,Close,216.42
825,2018-04-12,20,AdjClose,194.74336
825,2018-04-12,20,Volume,2292900
826,2018-04-13,20,Open,218.09
826,2018-04-13,20,High,218.67999
826,2018-04-13,20,Low,214.46001
826,2018-04-13,20,Close,215.52
826,2018-04-13,20,AdjClose,193.93347
826,2018-04-13,20,Volume,2034500
827,2018-04-16,20,Open,217.2
827,2018-04-16,20,High,219.27
827,2018-04-16,20,Low,216.59
827,2018-04-16,20,Close,217.7
827,2018-04-16,20,AdjClose,195.89513
827,2018-04-16,20,Volume,2060500
828,2018-04-17,20,Open,219.14999
828,2018-04-17,20,High,221.69
828,2018-04-17,20,Low,218.74001
828,2018-04-17,20,Close,220.09
828,2018-04-17,20,AdjClose,198.04575
828,2018-04-17,20,Volume,1853500
829,2018-04-18,20,Open,220.39
829,2018-04-18,20,High,221.01
829,2018-04-18,20,Low,219.16
829,2018-04-18,20,Close,219.52
829,2018-04-18,20,AdjClose,197.53287
829,2018-04-18,20,Volume,1599300
830,2018-04-19,20,Open,218.03999
830,2018-04-19,20,High,219.3
830,2018-04-19,20,Low,217.03
830,2018-04-19,20,Close,218.85001
830,2018-04-19,20,AdjClose,196.92993
830,2018-04-19,20,Volume,1453100
831,2018-04-20,20,Open,218.41
831,2018-04-20,20,High,220.28
831,2018-04-20,20,Low,216.74001
831,2018-04-20,20,Close,217.75
831,2018-04-20,20,AdjClose,195.94013
831,2018-04-20,20,Volume,2634300
832,2018-04-23,20,Open,218.02
832,2018-04-23,20,High,218.73
832,2018-04-23,20,Low,214.75
832,2018-04-23,20,Close,215.88001
832,2018-04-23,20,AdjClose,194.25746
832,2018-04-23,20,Volume,2520700
833,2018-04-24,20,Open,206.5
833,2018-04-24,20,High,206.5
833,2018-04-24,20,Low,196.89
833,2018-04-24,20,Close,201.13001
833,2018-04-24,20,AdjClose,180.9848
833,2018-04-24,20,Volume,11671400
834,2018-04-25,20,Open,201.10001
834,2018-04-25,20,High,201.75
834,2018-04-25,20,Low,197.01
834,2018-04-25,20,Close,198.84
834,2018-04-25,20,AdjClose,178.92418
